2025-10-02 11:41:58,190 - INFO - Starting file fetch process...
2025-10-02 11:41:58,190 - ERROR - Missing Supabase credentials in environment variables
2025-10-02 11:42:13,601 - INFO - Starting file fetch process...
2025-10-02 11:42:13,687 - INFO - Supabase client initialized successfully
2025-10-02 11:42:13,687 - INFO - Fetching unprocessed files...
2025-10-02 11:42:14,095 - INFO - HTTP Request: GET https://kevndteqglsoslznrntz.supabase.co/rest/v1/processed_files?select=%2A "HTTP/2 200 OK"
2025-10-02 11:42:14,534 - INFO - Found 111 new files to process
2025-10-02 11:42:14,535 - INFO - New file: 2019-citibike-tripdata.zip (locale: NYC, modified: 2024-02-22 14:52:46+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 2020-citibike-tripdata.zip (locale: NYC, modified: 2024-07-31 18:18:37+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 2021-citibike-tripdata.zip (locale: NYC, modified: 2024-08-13 12:47:01+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 2022-citibike-tripdata.zip (locale: NYC, modified: 2024-07-31 18:18:37+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 2023-citibike-tripdata.zip (locale: NYC, modified: 2025-07-03 13:37:44+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 202403-citibike-tripdata.zip (locale: NYC, modified: 2025-07-03 15:01:20+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 202501-citibike-tripdata.zip (locale: NYC, modified: 2025-07-03 15:41:08+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 202502-citibike-tripdata.zip (locale: NYC, modified: 2025-07-03 15:41:08+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 202503-citibike-tripdata.zip (locale: NYC, modified: 2025-07-03 15:41:08+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 202504-citibike-tripdata.zip (locale: NYC, modified: 2025-07-03 15:41:08+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 202505-citibike-tripdata.zip (locale: NYC, modified: 2025-07-03 15:41:08+00:00)
2025-10-02 11:42:14,535 - INFO - New file: 202506-citibike-tripdata.zip (locale: NYC, modified: 2025-07-06 22:27:06+00:00)
2025-10-02 11:42:14,535 - INFO - New file: JC-201509-citibike-tripdata.csv.zip (locale: JC, modified: 2017-04-06 21:01:34+00:00)
