,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
1,BC252DC6A6011556,electric_bike,2024-12-12 14:46:12.473,2024-12-12 16:45:37.777,Madison Ave & E 99 St,7443.01,,,40.78948541553215,-73.95242929458618,40.78,-73.96,member
2,6FBE55EF6FE8736D,electric_bike,2024-12-11 07:55:18.770,2024-12-11 08:02:23.460,Columbia St & Kane St,4422.05,,,40.68763155,-74.0016256,40.69,-74.0,member
204,02DD08E50BA6E22F,electric_bike,2024-12-12 14:32:33.589,2024-12-12 15:23:07.409,E 43 St & Madison Ave,6551.11,,,40.75354681867074,-73.97896572947502,40.76,-73.99,member
206,C66B895F6F4CCB06,electric_bike,2024-12-01 16:44:31.734,2024-12-01 17:11:44.716,Frederick Douglass Blvd & W 117 St,7688.12,,,40.805159,-73.954692,40.81,-73.96,member
207,5790448C2A93E0CC,electric_bike,2024-12-12 19:53:17.086,2024-12-12 21:45:56.988,Lenox Ave & W 117 St,7655.22,,,40.8025566,-73.9490782,40.81,-73.95,member
210,D54C9DF84E37EB2F,electric_bike,2024-12-13 08:43:53.928,2024-12-13 08:46:00.035,Adam Clayton Powell Blvd & W 126 St,7738.04,,,40.809495347779475,-73.94776493310928,40.81,-73.95,member
211,C747CDB4C23420C3,electric_bike,2024-12-12 20:56:17.640,2024-12-12 21:00:59.288,Lenox Ave & W 117 St,7655.22,,,40.8025566,-73.9490782,40.81,-73.95,member
212,480C56CE74876CF6,electric_bike,2024-12-12 19:09:09.660,2024-12-12 19:15:44.479,Adam Clayton Powell Blvd & W 126 St,7738.04,,,40.809495347779475,-73.94776493310928,40.81,-73.96,member
241,00AF90ABEC5256BB,electric_bike,2024-12-11 19:27:09.084,2024-12-11 19:30:05.583,5 Ave & W 126 St,7701.21,,,40.80722,-73.9418,40.81,-73.95,member
243,1069CB405EA267D5,electric_bike,2024-12-10 20:47:30.975,2024-12-10 20:51:17.648,Frederick Douglass Blvd & W 145 St,7954.12,,,40.823061,-73.941928,40.83,-73.94,casual
