,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
7183,FA17B48B5F2FDC67,electric_bike,2024-12-11 15:09:26.615,2024-12-11 15:17:01.394,,,W 27 St & 6 Ave,6215.07,40.74,-74.01,40.74526,-73.99062,member
8010,BE01094D848E7E13,electric_bike,2024-12-04 20:08:48.217,2024-12-04 20:13:14.493,,,,,40.75,-74.0,40.75,-74.0,member
9244,D87B9CDF2F32A63D,electric_bike,2024-12-04 16:37:15.788,2024-12-04 16:41:58.273,,,W 54 St & 9 Ave,6920.05,40.76,-73.99,40.76604,-73.98737,member
10186,05A99FB486798B94,electric_bike,2024-12-02 12:55:35.251,2024-12-02 12:59:11.776,,,St Marks Pl & 2 Ave,5669.10,40.73,-73.99,40.7284186,-73.98713956,member
10791,972C5429241315F7,electric_bike,2024-12-05 13:33:34.396,2024-12-05 13:47:15.332,,,Berkeley Pl & 7 Ave,4051.01,40.7,-73.99,40.675146838709786,-73.97523209452629,member
10913,D33175100BD2E5AF,electric_bike,2024-12-12 16:49:21.249,2024-12-12 16:54:29.464,,,Christopher St & Greenwich St,5847.01,40.73,-73.99,40.73291553,-74.00711384,member
13865,F2C21345CABB4604,electric_bike,2024-12-09 16:57:38.694,2024-12-09 17:04:32.011,,,Allen St & Rivington St,5414.06,40.73,-73.99,40.72019576,-73.98997825,member
14685,0D19F91217FF3081,electric_bike,2024-12-03 15:37:23.463,2024-12-03 15:43:18.917,,,Queens Blvd & 56 Ave,5887.03,40.73,-73.87,40.73481,-73.87431,casual
14690,7F14EDD8D36CDACE,electric_bike,2024-12-08 19:41:16.281,2024-12-08 19:48:54.659,,,Broadway & Moylan Pl,7823.03,40.81,-73.95,40.8143256,-73.9590255,member
18599,858A6A8FB4C9DA15,electric_bike,2024-12-09 12:04:53.315,2024-12-09 12:06:41.298,,,Hudson St & Reade St,5359.10,40.72,-74.0,40.71625008,-74.0091059,member
21966,EB1CE864B0564FB9,electric_bike,2024-12-10 13:29:58.411,2024-12-10 14:42:28.742,,,,,40.77,-73.96,40.76,-73.97,member
21967,6925093D6E3FDB4E,electric_bike,2024-12-06 14:33:50.748,2024-12-06 15:53:23.301,,,,,40.77,-73.96,40.77,-73.97,member
21968,D065770AFC539F6A,electric_bike,2024-12-06 16:28:26.977,2024-12-06 18:40:35.988,,,,,40.77,-73.97,40.76,-73.97,member
21969,27E5F9043616A889,electric_bike,2024-12-06 19:17:40.173,2024-12-06 19:22:27.529,,,,,40.72,-74.0,40.72,-74.0,member
21999,3096978EB2D71A2E,electric_bike,2024-12-09 20:13:20.798,2024-12-09 20:20:15.618,,,,,40.75,-74.0,40.75,-74.0,member
22000,FA6C97C05672768F,electric_bike,2024-12-04 06:17:15.437,2024-12-04 06:22:43.098,,,,,40.75,-74.0,40.75,-74.0,member
22013,2BAE00440161B4C6,electric_bike,2024-12-05 09:53:41.880,2024-12-05 09:58:49.095,,,,,40.75,-74.0,40.75,-74.0,member
22015,5BE51D157B220C75,electric_bike,2024-12-06 14:51:20.754,2024-12-07 02:14:07.602,,,,,40.78,-73.96,40.66,-73.94,casual
22025,7D80C5D315EFA6F5,electric_bike,2024-12-05 08:31:15.519,2024-12-05 08:36:30.817,,,,,40.75,-74.0,40.75,-74.0,member
22031,C2FF229CAAEE35CA,electric_bike,2024-12-02 17:06:37.470,2024-12-02 18:18:44.130,,,,,40.75,-74.0,40.75,-74.0,member
22032,5C80D9EC8ED388E7,electric_bike,2024-12-12 17:35:23.651,2024-12-12 17:46:06.188,,,,,40.71,-73.99,40.71,-73.99,member
22034,3C85AF320F526E23,electric_bike,2024-12-04 08:16:48.856,2024-12-04 08:35:10.994,,,,,40.74,-73.95,40.74,-73.95,member
22036,9DB9717D3303AF9A,electric_bike,2024-12-02 10:19:27.251,2024-12-02 10:30:41.227,,,,,40.76,-74.0,40.76,-74.0,member
22040,65FF5C1BCE73E1B6,electric_bike,2024-12-12 14:58:27.550,2024-12-12 15:54:38.121,,,,,40.69,-73.99,40.69,-73.99,member
22045,04081824D157F558,electric_bike,2024-12-12 16:28:40.752,2024-12-12 16:53:52.819,,,,,40.76,-73.97,40.77,-73.98,member
22048,8A72E97EF1F86C97,electric_bike,2024-12-02 13:33:25.270,2024-12-02 13:41:30.665,,,,,40.76,-74.0,40.76,-74.0,member
22052,0D7B1F835CC07267,electric_bike,2024-12-10 10:52:39.453,2024-12-10 11:05:17.543,,,,,40.76,-74.0,40.76,-74.0,member
22054,5D38C3A474EB14A8,electric_bike,2024-12-12 20:15:28.807,2024-12-12 20:27:41.869,,,,,40.71,-73.96,40.71,-73.96,member
22056,2EACF3960628A50F,electric_bike,2024-12-11 17:31:00.613,2024-12-11 18:11:38.387,,,,,40.76,-74.0,40.76,-74.0,member
22059,27F933DE74016B64,electric_bike,2024-12-10 18:28:37.115,2024-12-10 19:41:58.017,,,,,40.75,-74.0,40.75,-74.0,casual
